Fines Imposed by Federal Student Aid in Fiscal Year 2015,,,,,,,
OPEID,School,City,State,School Type,Referral Reason,"Imposed Fine 
Amount","Imposed Fine 
Date"
03013100,Boulder College of Massage Therapy,Boulder,CO,Priv,Fiduciary Duty Failure,"$25,000 ",4/27/15
00142800,Delaware State University,Dover,DE,Pub,Campus Security,"$55,000 ",11/14/14
04176900,American Health Institute,Port Richey,FL,Prop,IPEDS Nonsubmission,"$1,750 ",9/10/15
02151900,Keiser University,Fort Lauderdale,FL,Priv,Qui Tam,"$355,000 ",3/2/15
03875300,MCI Institute of Technology,West Palm Beach,FL,Prop,IPEDS Nonsubmission,"$5,000 ",9/22/15
03635300,Carver Bible College,Atlanta,GA,Priv,IPEDS Nonsubmission,"$3,500 ",9/10/15
00185600,Cornell College,Mount Vernon,IA,Priv,Campus Security,"$55,000 ",6/24/15
00188000,Mount Mercy University,Cedar Rapids,IA,Priv,Campus Security,"$27,500 ",6/3/15
02584900,First Institute,Crystal Lake,IL,Prop,Campus Security,"$42,500 ",6/3/15
00549900,Salina Area Technical College,Salina,KS,Pub,Campus Security,"$72,500 ",6/4/15
00194500,Sterling College,Sterling,KS,Priv,Campus Security,"$165,000 ",3/11/15
00202500,Southern University and Agricultural & Mechanical Colg at Baton Rouge,Baton Rouge,LA,Pub,IPEDS Nonsubmission,"$15,000 ",9/22/15
00989900,Lowell Academy Hair Styling Institute,Lowell,MA,Prop,IPEDS Nonsubmission,"$7,000 ",9/9/15
02280900,Mid-Atlantic Christian University,Elizabeth City,NC,Priv,Campus Security,"$30,000 ",3/19/15
04208600,Relay Graduate School of Education,New York,NY,Priv,IPEDS Nonsubmission,"$7,000 ",9/22/15
00319100,Concordia University,Portland,OR,Priv,Qui Tam,"$750,000 ",8/20/15
02495500,All-State Career School,Lester,PA,Prop,Qui Tam,"$13,000,000 ",6/15/15
00399300,Midlands Technical College,West Columbia,SC,Pub,Campus Security,"$37,500 ",12/9/14
02108800,Wards Corner Beauty Academy,Norfolk,VA,Prop,Campus Security,"$15,000 ",3/19/15
,,,,,,,
,,,,,, ,
