Fines Imposed by Federal Student Aid in Fiscal Year 2011,,,,,,,
OPEID,School,City,State,School Type,Referral Reason,"Imposed Fine 
Amount","Imposed Fine 
Date"
04067300,Selma University,Selma,AL,Priv,IPEDS Nonsubmission,"$5,000",12/27/10
03997300,Arkansas Beauty College,Russellville,AR,Prop,IPEDS Nonsubmission,"$4,000",12/27/10
03023400,Arkansas College of Barbering & Hair Design,North Little Rock,AR,Prop,IPEDS Nonsubmission,"$5,000",2/24/11
00107400,Grand Canyon University,Phoenix,AZ,Prop,Qui Tam,"$3,796,000",6/20/11
03901300,Pacific Coast Trade School,Oxnard,CA,Prop,IPEDS Nonsubmission,"$7,000",2/25/11
02059800,Paris Beauty College,Concord,CA,Prop,IPEDS Nonsubmission,"$3,000",3/24/11
02536700,Bell Mar Beauty College,Cicero,IL,Prop,IPEDS Nonsubmission,"$2,000",9/16/11
01321800,M.J. Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI,Prop,IPEDS Nonsubmission,"$1,750",2/11/11
00235700,Luther Seminary,St Paul,MN,Priv,IPEDS Nonsubmission,"$7,500",3/3/11
03916300,eClips School of Cosmetology and Barbering,Cape Girardeau,MO,Prop,IPEDS Nonsubmission,"$14,000",1/11/11
02210400,Fayetteville Beauty College,Fayetteville,NC,Prop,IPEDS Nonsubmission,"$7,000",2/11/11
03839300,Aveda Institute ,New York,NY,Prop,IPEDS Nonsubmission,"$5,000",12/27/10
03568300,Leon Studio One School of Hair Design & Career Training Center,Williamsville,NY,Prop,IPEDS Nonsubmission,"$28,000",5/27/11
02118700,Long Island College Hospital - School of Nursing,Brooklyn,NY,Priv,IPEDS Nonsubmission,"$3,500",2/25/11
00279500,Paul Smith's College of Arts & Sciences,Paul Smiths,NY,Priv,Campus Security,"$195,000",4/14/11
00747300,Choffin Career & Technical Center,Youngstown,OH,Pub,IPEDS Nonsubmission,"$3,000",12/27/10
02498700,Demarge College,Oklahoma City,OK,Prop,Fraud,"$1,072,500",10/21/10
00335800,Reformed Presbyterian Theological Seminary,Pittsburgh,PA,Priv,IPEDS Nonsubmission,"$1,000",11/29/10
03892300,Harley's Beauty & Barber Career Institute,Columbia,SC,Prop,IPEDS Nonsubmission,"$2,000",12/27/10
03701300,Memphis Institute of Barbering,Memphis,TN,Prop,IPEDS Nonsubmission,"$14,000",3/3/11
03023800,Aims Academy,Carrollton,TX,Prop,IPEDS Nonsubmission,"$1,000",11/19/10
03885700,Houston's Training and Education Center (H-TEC),Houston,TX,Prop,IPEDS Nonsubmission,"$1,750",3/3/11
03680300,Jay's Technical Institute,Houston,TX,Prop,IPEDS Nonsubmission,"$5,000",1/13/11
03520300,Lubbock Hair Academy,Lubbock,TX,Prop,IPEDS Nonsubmission,"$5,000",12/27/10
03035200,Tint School of Makeup & Cosmetology,Dallas,TX,Prop,IPEDS Nonsubmission,"$2,000",3/15/11
04118100,ImageWorks Academy of Hair Design,Spanish Fork,UT,Prop,IPEDS Nonsubmission,"$2,000",3/1/11
03734300,John D. Rockefeller IV Career Center,New Cumberland,WV,Pub,IPEDS Nonsubmission,"$1,000",2/17/11
00500800,Mountain State College,Parkersburg,WV,Prop,IPEDS Nonsubmission,"$14,000",1/31/11
,,,,,,,
,,,,,,,
