Fines Imposed by Federal Student Aid in Fiscal Year 2017,,,,,,,
OPEID,School,City,State,School Type,Referral Reason,"Imposed Fine 
Amount","Imposed Fine 
Date"
137800,Central Connecticut State University,New Britain,CT,Pub,Campus Security,"$32,500 ",6/28/17
893800,Graham Hospital School of Nursing,Canton,IL,Priv,Campus Security,"$20,000 ",1/31/17
4179100,PCCTI  Healthcare,Oak Brook,IL,Prop,Qui Tam,"$382,500 ",1/11/17
4189400,Shear Learning Academy of Cosmetology.,Decatur,IL,Prop,IPEDS Nonsubmission,"$1,500 ",9/12/17
245800,Cottey College,Nevada,MO,Priv,Campus Security,"$30,000 ",8/2/17
3180400,Pennsylvania Highlands Community College,Johnstown,PA,Pub,Part 86,"$27,500 ",8/30/17
332900,Pennsylvania State University (The),University Park,PA,Pub,Campus Security-Part 86,"$2,397,500 ",11/28/16
376400,Virginia State University,Petersburg,VA,Pub,Part 86,"$35,000 ",6/28/17
,,,,,,,
