Fines Imposed by Federal Student Aid in Fiscal Year 2016,,,,,,,
OPEID,School,City,State,School Type,Referral Reason,"Imposed Fine 
Amount","Imposed Fine 
Date"
4067300,Selma University,Selma,AL,Priv,IPEDS Nonsubmission,"$7,500",9/21/16
3874400,Community Christian College,Redlands,CA,Priv,IPEDS Nonsubmission,"$1,000",9/27/16
4092400,Make-Up Designory,Burbank,CA,Prop,Campus Security,"$27,500",9/27/16
4152800,Paul Mitchell The School Sacramento,Sacramento,CA,Prop,IPEDS Nonsubmission,"$15,000",9/21/16
4241700,Saint Joseph's School of Nursing,Lancaster,CA,Prop,IPEDS Nonsubmission,"$6,500",9/21/16
4114500,Valley College of Medical Careers,West Hills,CA,Prop,IPEDS Nonsubmission,"$3,500",9/21/16
3027400,Xenon International Academy III,Aurora,CO,Prop,Campus Security,"$30,000",2/11/16
169900,Joliet Junior College,Joliet,IL,Pub,Campus Security,"$55,000",2/9/16
4205300,Mitsu Sato Hair Academy,Overland Park,KS,Prop,Campus Security,"$10,000",10/16/15
549800,Wichita Area Technical College,Wichita,KS,Pub,Campus Security,"$27,500",3/18/16
210900,McDaniel College,Westminster,MD,Priv,Campus Security-Part 86,"$45,000",4/20/16
1054600,Century College,White Bear Lake,MN,Pub,Part 86,"$10,000",2/3/16
246800,Jefferson College,Hillsboro,MO,Pub,Campus Security-Part 86,"$32,500",6/8/16
4207500,Medical Career Institute,Ocean,NJ,Prop,IPEDS Nonsubmission,"$7,000",9/6/16
3358300,Allen School,Jamaica,NY,Prop,Qui Tam,"$3,400,000",7/11/16
4074300,Hondros College,Westerville,OH,Prop,Misrepresentation,"$27,500",12/21/15
747000,Art Institute of Pittsburgh (The),Pittsburgh,PA,Prop,Qui Tam,"$75,625,000",11/16/15
,,,,,,,
336000,Rosemont College,Rosemont,PA,Priv,Campus Security-Part 86,"$70,000",3/23/16
3426300,College of Health Care Professions (The),Austin,TX,Prop,Incentive Compensation,"$410,000",4/29/16
4138500,Houston International College Cardiotech Ultrasound School,Houston,TX,Prop,IPEDS Nonsubmission,"$14,000",9/21/16
3808300,Institute of Beauty and Wellness (The),Milwaukee,WI,Prop,IPEDS Nonsubmission,"$2,500",9/21/16
